Date of Death,New Deaths,Cumulative Deaths,Data As Of,Data Loaded At
03/19/2020 12:00:00 AM,0,1,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
03/22/2020 12:00:00 AM,0,1,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
03/25/2020 12:00:00 AM,0,2,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
03/28/2020 12:00:00 AM,0,7,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
03/31/2020 12:00:00 AM,1,9,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
04/03/2020 12:00:00 AM,0,12,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
04/06/2020 12:00:00 AM,1,14,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
04/09/2020 12:00:00 AM,0,16,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
04/12/2020 12:00:00 AM,0,19,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
04/15/2020 12:00:00 AM,1,24,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
04/18/2020 12:00:00 AM,1,26,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
04/21/2020 12:00:00 AM,0,27,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
04/24/2020 12:00:00 AM,0,29,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
04/27/2020 12:00:00 AM,0,30,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
04/30/2020 12:00:00 AM,1,35,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
05/03/2020 12:00:00 AM,0,36,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
05/06/2020 12:00:00 AM,0,36,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
05/09/2020 12:00:00 AM,2,41,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
05/12/2020 12:00:00 AM,1,42,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
05/15/2020 12:00:00 AM,1,43,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
05/18/2020 12:00:00 AM,0,45,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
05/21/2020 12:00:00 AM,0,45,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
05/24/2020 12:00:00 AM,0,45,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
05/27/2020 12:00:00 AM,0,46,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
05/30/2020 12:00:00 AM,0,47,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
06/02/2020 12:00:00 AM,0,48,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
06/05/2020 12:00:00 AM,1,49,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
06/08/2020 12:00:00 AM,0,49,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
06/11/2020 12:00:00 AM,0,49,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
06/14/2020 12:00:00 AM,0,51,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
06/17/2020 12:00:00 AM,0,51,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
06/20/2020 12:00:00 AM,0,52,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
06/23/2020 12:00:00 AM,0,52,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
06/26/2020 12:00:00 AM,0,52,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
06/29/2020 12:00:00 AM,0,52,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
07/02/2020 12:00:00 AM,0,52,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
07/05/2020 12:00:00 AM,1,53,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
07/08/2020 12:00:00 AM,0,54,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
07/11/2020 12:00:00 AM,0,54,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
07/14/2020 12:00:00 AM,1,57,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
07/17/2020 12:00:00 AM,1,60,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
07/20/2020 12:00:00 AM,0,61,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
07/23/2020 12:00:00 AM,1,64,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
07/26/2020 12:00:00 AM,1,65,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
07/29/2020 12:00:00 AM,1,70,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
08/01/2020 12:00:00 AM,3,73,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
08/04/2020 12:00:00 AM,0,74,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
08/07/2020 12:00:00 AM,2,77,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
08/10/2020 12:00:00 AM,2,80,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
08/13/2020 12:00:00 AM,1,82,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
08/16/2020 12:00:00 AM,0,85,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
08/19/2020 12:00:00 AM,0,86,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
08/22/2020 12:00:00 AM,0,89,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
08/25/2020 12:00:00 AM,0,89,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
08/28/2020 12:00:00 AM,0,91,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
08/31/2020 12:00:00 AM,2,94,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
09/03/2020 12:00:00 AM,2,97,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
09/06/2020 12:00:00 AM,1,101,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
09/09/2020 12:00:00 AM,2,105,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
09/12/2020 12:00:00 AM,1,111,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
09/15/2020 12:00:00 AM,0,111,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
09/18/2020 12:00:00 AM,2,116,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
09/21/2020 12:00:00 AM,0,117,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
09/24/2020 12:00:00 AM,2,123,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
09/27/2020 12:00:00 AM,0,125,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
09/30/2020 12:00:00 AM,0,129,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
10/03/2020 12:00:00 AM,0,136,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
10/06/2020 12:00:00 AM,0,143,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
10/09/2020 12:00:00 AM,4,150,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
10/12/2020 12:00:00 AM,0,154,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
10/15/2020 12:00:00 AM,0,155,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
10/18/2020 12:00:00 AM,1,156,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
10/21/2020 12:00:00 AM,0,158,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
10/24/2020 12:00:00 AM,2,160,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
10/27/2020 12:00:00 AM,0,160,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
10/30/2020 12:00:00 AM,0,160,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
11/02/2020 12:00:00 AM,0,161,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
11/05/2020 12:00:00 AM,0,161,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
11/08/2020 12:00:00 AM,0,161,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
11/11/2020 12:00:00 AM,0,163,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
11/14/2020 12:00:00 AM,1,165,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
11/17/2020 12:00:00 AM,1,167,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
11/20/2020 12:00:00 AM,0,168,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
11/23/2020 12:00:00 AM,1,169,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
11/26/2020 12:00:00 AM,0,170,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
11/29/2020 12:00:00 AM,1,172,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
12/02/2020 12:00:00 AM,0,174,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
12/05/2020 12:00:00 AM,1,177,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
12/08/2020 12:00:00 AM,0,178,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
12/11/2020 12:00:00 AM,4,185,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
12/14/2020 12:00:00 AM,1,189,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
12/17/2020 12:00:00 AM,4,199,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
12/20/2020 12:00:00 AM,2,206,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
12/23/2020 12:00:00 AM,3,215,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
12/26/2020 12:00:00 AM,3,233,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
12/29/2020 12:00:00 AM,6,248,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
01/01/2021 12:00:00 AM,4,265,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
01/04/2021 12:00:00 AM,3,281,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
01/07/2021 12:00:00 AM,8,297,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
01/10/2021 12:00:00 AM,5,313,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
01/13/2021 12:00:00 AM,8,334,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
01/16/2021 12:00:00 AM,10,358,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
01/19/2021 12:00:00 AM,6,368,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
01/22/2021 12:00:00 AM,9,390,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
01/25/2021 12:00:00 AM,3,399,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
01/28/2021 12:00:00 AM,7,410,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
01/31/2021 12:00:00 AM,9,426,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
02/03/2021 12:00:00 AM,3,436,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
02/06/2021 12:00:00 AM,5,457,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
02/09/2021 12:00:00 AM,6,469,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
02/12/2021 12:00:00 AM,7,486,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
02/15/2021 12:00:00 AM,6,497,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
02/18/2021 12:00:00 AM,5,507,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
02/21/2021 12:00:00 AM,0,510,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
02/24/2021 12:00:00 AM,3,521,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
02/27/2021 12:00:00 AM,1,523,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
03/02/2021 12:00:00 AM,0,524,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
03/05/2021 12:00:00 AM,0,528,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
03/08/2021 12:00:00 AM,0,530,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
03/11/2021 12:00:00 AM,1,533,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
03/14/2021 12:00:00 AM,1,534,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
03/17/2021 12:00:00 AM,0,534,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
03/20/2021 12:00:00 AM,1,536,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
03/23/2021 12:00:00 AM,0,539,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
03/26/2021 12:00:00 AM,1,544,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
03/29/2021 12:00:00 AM,0,547,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
04/01/2021 12:00:00 AM,0,547,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
04/04/2021 12:00:00 AM,0,548,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
04/07/2021 12:00:00 AM,0,548,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
04/10/2021 12:00:00 AM,1,550,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
04/13/2021 12:00:00 AM,0,550,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
04/16/2021 12:00:00 AM,0,551,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
04/19/2021 12:00:00 AM,1,552,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
04/22/2021 12:00:00 AM,0,552,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
04/25/2021 12:00:00 AM,1,554,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
04/28/2021 12:00:00 AM,0,557,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
05/01/2021 12:00:00 AM,0,558,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
05/04/2021 12:00:00 AM,0,558,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
05/07/2021 12:00:00 AM,1,561,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
05/10/2021 12:00:00 AM,0,561,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
05/13/2021 12:00:00 AM,0,562,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
05/16/2021 12:00:00 AM,0,562,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
05/19/2021 12:00:00 AM,0,562,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
05/22/2021 12:00:00 AM,0,562,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
05/25/2021 12:00:00 AM,0,563,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
05/28/2021 12:00:00 AM,0,563,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
05/31/2021 12:00:00 AM,0,563,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
06/03/2021 12:00:00 AM,0,563,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
06/06/2021 12:00:00 AM,0,566,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
06/09/2021 12:00:00 AM,0,567,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
06/12/2021 12:00:00 AM,0,568,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
06/15/2021 12:00:00 AM,0,568,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
06/18/2021 12:00:00 AM,0,568,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
06/21/2021 12:00:00 AM,0,568,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
06/24/2021 12:00:00 AM,0,568,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
06/27/2021 12:00:00 AM,0,568,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
06/30/2021 12:00:00 AM,0,568,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
07/03/2021 12:00:00 AM,0,569,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
07/06/2021 12:00:00 AM,0,569,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
07/09/2021 12:00:00 AM,0,569,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
07/12/2021 12:00:00 AM,0,570,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
07/15/2021 12:00:00 AM,0,571,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
07/18/2021 12:00:00 AM,0,573,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
07/21/2021 12:00:00 AM,0,575,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
07/24/2021 12:00:00 AM,0,576,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
07/27/2021 12:00:00 AM,0,577,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
07/30/2021 12:00:00 AM,3,580,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
08/02/2021 12:00:00 AM,0,580,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
08/05/2021 12:00:00 AM,1,584,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
08/08/2021 12:00:00 AM,0,585,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
08/11/2021 12:00:00 AM,0,587,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
08/14/2021 12:00:00 AM,3,593,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
08/17/2021 12:00:00 AM,0,599,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
08/20/2021 12:00:00 AM,0,601,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
08/23/2021 12:00:00 AM,1,605,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
08/26/2021 12:00:00 AM,0,610,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
08/29/2021 12:00:00 AM,3,614,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
09/01/2021 12:00:00 AM,2,617,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
09/04/2021 12:00:00 AM,3,621,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
09/07/2021 12:00:00 AM,3,627,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
09/10/2021 12:00:00 AM,2,634,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
09/13/2021 12:00:00 AM,0,639,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
09/16/2021 12:00:00 AM,0,641,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
09/19/2021 12:00:00 AM,2,644,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
09/22/2021 12:00:00 AM,0,645,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
09/25/2021 12:00:00 AM,2,650,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
09/28/2021 12:00:00 AM,0,653,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
10/01/2021 12:00:00 AM,0,654,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
10/04/2021 12:00:00 AM,1,657,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
10/07/2021 12:00:00 AM,2,659,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
10/10/2021 12:00:00 AM,2,662,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
10/13/2021 12:00:00 AM,0,663,05/02/2022 04:30:00 AM,05/02/2022 07:00:09 AM
